id,statement,response,evalScore,bleu,nextSentence,internalRepetition,partnerRepetition,externalRepetition,responseType,shortSafe
0,"Thats good for you, i'm not very into new tech",I am a college student and i am a college student,1.0,0,0,0.5,0.0,0.0,Continuer,1
0,I am go to gym and live on donations,I am a vegan and i am in the midwest,1.0,0.427,1,0.2,0.1,0.1,Statement,1
0,So vegan... i have dogs maybe i should told then that they may eat cheap salads insted of meat,I would not mind having them in the office that would be hard for me,1.0,0.135,1,0.1,0.0,0.0,Clarify,1
0,Dogs or vegan in office?,I am a vegetarian so i am vegan,1.0,0.206,1,0.2,0.0,0.0,Statement,1
0,Strange answer,I guess i just do not know what to ps4 experience with.,1.0,0,0,0.1,0.0,0.0,Reject,1
18,Hi,"Hello. Uh, I'm Susan's mother.",2.0,0,1,0.0,0.0,0.0,nAnswer,1
18,Where is susan?,"Um, I  I have to talk to Edie.",2.0,0,0,0.2,0.0,0.0,Statement,1
18,Where do you live?,I I'm building a new house.,2.0,0,1,0.0,0.0,0.0,nAnswer,1
18,I live in colorado.,"Oh, I... I go to New York.",2.0,0.221,1,0.1,0.0,0.0,Clarify,1
18,I like rock climbing.,"Uh, II was thinking more along the lines of... Camping trip.",2.0,0,0,0.0,0.0,0.0,Clarify,1
18,What do you like to do.,"In Cyprus? I'm on a log, and you're in Cyprus?",2.0,0,0,0.2,0.0,0.0,nAnswer,1
18,Lol,"Oh, I... I have a place in Manhattan.",2.0,0,0,0.1,0.0,0.0,Statement,1
18,Random answers.,"WHAT ARE YOU, A native OR SOMETH ing?",2.0,0,1,0.0,0.0,0.0,whQuestion,1
19,My brother likes them too.,Do you have any siblings?,4.0,0,1,0.0,0.0,0.0,ynQuestion,1
19,"Yeah, and you?","I am good, just listening to some music",4.0,0,1,0.0,0.0,0.0,Statement,1
19,What kind of music?,"Country music, country, country, jazz",4.0,0.266,1,0.4,0.0,0.0,Statement,1
19,Do you have dogs?,"Yes, i have two dogs, and a cat.",4.0,0.244,1,0.0,0.0,0.0,yAnswer,1
19,"Cool, I love dogs. But i have siblings instead...","I have two brothers and a sister, and a sister.",4.0,0.386,1,0.3,0.1,0.0,nAnswer,1
19,Where do you live?,I live in the midwest,4.0,0.266,1,0.0,0.0,0.0,Statement,1
19,I live in alabama,"I live in alabama, where are you from?",4.0,0.68,1,0.0,1.0,0.1,whQuestion,1
21,hello how are you,/start,2.0,0,0,0.0,0.0,0.0,Statement,0
21,are you ok?,"i love animals , i have a dog , and a dog .",2.0,0,1,0.3,0.0,0.0,Statement,1
21,i have a dog too,"i see , i am a black belt , so i can not say that , but i am not sure .",2.0,0.16,1,0.3,0.0,0.0,Statement,1
21,i enjoy american sports,"that is cool , i am a dancer , and i am a teacher , and you ?",2.0,0.153,0,0.3,0.0,0.0,Statement,1
21,i am working in a company for 15 years,"i am a black belt , so i am a fan of it , but i am not sure .",2.0,0.324,1,0.3,0.1,0.0,nAnswer,1
22,Hi,"i like coffee , but i like coffee too",2.0,0,1,0.4,0.0,0.0,Statement,1
22,I like drinking tea while reading some books,"i like red , reminds me of summer time , which is why i hate it .",2.0,0.324,1,0.1,0.1,0.1,nAnswer,1
22,So you like it or hate it?,"i like mountain climbing , but i also like to bike .",2.0,0.183,0,0.2,0.0,0.1,Clarify,1
22,Where do you live? Close to mountains?,"i like to draw , and draw , and draw , and draw , and draw , and paint , and draw , and draw , and paint .",2.0,0.127,0,0.7,0.0,0.0,Statement,1
22,I like movies,"i like to draw , but i also like to draw , and draw , and draw , and paint , and draw , and paint .",2.0,0.269,1,0.6,0.5,0.1,Statement,1
22,What is your job,"i like mountain climbing , but i also like to bike .",2.0,0,0,0.2,0.0,0.1,Clarify,1
26,Is it interesting?,i think it is . i am not sure if i had to do that .,3.0,0.182,1,0.1,0.0,0.0,Statement,1
26,Do what?,i am not sure . i am a very experienced person .,3.0,0,0,0.2,0.0,0.0,nAnswer,1
26,What are you doing now?,i am not sure . i am a little crazy person .,3.0,0,1,0.2,0.0,0.0,Clarify,1
26,Me too. I am moving my cup of tea with my mind. Doctors say i am crazy and imagine things,that sounds like a plan . do you have any hobbies ?,3.0,0,0,0.0,0.0,0.0,ynQuestion,1
26,Not really... i spend a lot of time at the hospital. And you?,i am not sure what that means . i am more of a homebody .,3.0,0.225,1,0.2,0.0,0.0,Statement,1
26,Do you like music?,i like to play the piano and have a good time,3.0,0.174,1,0.0,0.0,0.0,Statement,1
26,Cool. I should play piano too,"i can not say that , i have tons of friends that could be popular",3.0,0.153,0,0.1,0.0,0.0,Reject,1
27,metallica,"MUSIC: ""Do You Hear The People Sing"" from Les Miserables.",1.0,0,0,0.0,0.0,0.0,ynQuestion,1
27,i prefer metal music,YOUNG AMERICANS: (SINGING) Every time I sing my song,1.0,0.193,0,0.0,0.0,0.0,Clarify,1
27,what is your job,MUSIC PLAYS What is that sound?,1.0,0.508,0,0.0,0.3,0.1,whQuestion,1
27,are you a musician,"'The Jazz Singer,' that's what.",1.0,0,1,0.0,0.0,0.0,Statement,1
