id,bleu,nextSentence,shortSafe,internalRepetition,partnerRepetition,externalRepetition,responseType,evalScore
0,0.15360000000000001,0.6343407154,5.0,0.22000000000000003,0.02,0.02,1,1
18,0.027625,0.4476119580000001,8.0,0.075,0.0,0.0,4,2
19,0.2631428571428572,0.8836414217142856,7.0,0.09999999999999999,0.15714285714285717,0.014285714285714287,1,4
21,0.1274,0.5151856608000001,4.0,0.24,0.02,0.0,1,2
22,0.1505,0.5323311248333333,6.0,0.3666666666666667,0.09999999999999999,0.06666666666666667,1,2
26,0.10485714285714286,0.559871052,7.0,0.11428571428571428,0.0,0.0,1,3
27,0.10014285714285716,0.20037830200000004,7.0,0.0,0.04285714285714286,0.014285714285714287,1,1
28,0.051750000000000004,0.34448313275000003,8.0,0.0125,0.0,0.0,1,2
29,0.3282,0.9672234773999999,5.0,0.12000000000000002,0.1,0.04,1,2
30,0.1206,0.5371245129,10.0,0.02,0.06999999999999999,0.02,2,1
32,0.07583333333333334,0.34824268899999994,5.0,0.16666666666666666,0.0,0.03333333333333333,1,1
33,0.17340000000000003,0.7126693347000002,10.0,0.05,0.030000000000000006,0.0,1,4
34,0.3093333333333333,0.7655211425,6.0,0.08333333333333333,0.11666666666666665,0.05000000000000001,3,4
37,0.1967142857142857,0.5604521674285714,7.0,0.17142857142857143,0.05714285714285715,0.05714285714285715,1,5
49,0.22033333333333338,0.8996351033999999,15.0,0.1933333333333333,0.07333333333333332,0.0,1,3
50,0.18862500000000001,0.7907319402499999,8.0,0.0625,0.09999999999999999,0.0875,1,5
68,0.0,0.49541193671428563,7.0,0.0,0.0,0.0,1,3
72,0.06,0.5830498041428571,7.0,0.17142857142857143,0.014285714285714287,0.014285714285714287,4,3
73,0.0,0.40726063133333334,3.0,0.19999999999999998,0.0,0.0,1,2
76,0.0,0.0682926365,2.0,0.0,0.0,0.0,1,3
77,0.0,0.094640516,1.0,0.0,0.0,0.0,1,3
81,0.153,0.711432457,1.0,0.4,0.0,0.0,1,3
82,0.0,0.111097183,2.0,0.0,0.0,0.0,1,2
83,0.0,0.11824432071428571,7.0,0.0,0.0,0.0,1,3
86,0.0,0.27819859575,4.0,0.375,0.0,0.0,1,3
87,0.044,0.14721001925000002,4.0,0.275,0.0,0.0,1,2
88,0.0,0.045177569,3.0,0.13333333333333333,0.0,0.0,4,3
89,0.0,0.094640516,1.0,0.0,0.0,0.0,1,1
90,0.0,0.58617866,1.0,0.0,0.0,0.0,1,1
102,0.1085,0.3737767643333334,6.0,0.08333333333333333,0.0,0.0,7,5
104,0.0,0.03465369,1.0,0.0,0.0,0.0,1,1
113,0.0,0.5859582023333334,3.0,0.2333333333333333,0.0,0.0,1,1
117,0.21316666666666664,0.8436848321666668,6.0,0.05000000000000001,0.13333333333333333,0.05000000000000001,1,1
119,0.0575,0.56642182925,4.0,0.35,0.0,0.0,1,1
121,0.12733333333333333,0.7172511666666667,3.0,0.3333333333333333,0.0,0.0,1,1
122,0.14625,0.33207827424999997,4.0,0.1,0.075,0.05,3,5
123,0.18492307692307694,0.7440645150769231,13.0,0.1,0.06923076923076922,0.05384615384615384,1,4
124,0.0,0.602093816,1.0,0.1,0.0,0.0,7,5
125,0.0,0.566120923,0.0,0.0,0.0,0.0,1,1
127,0.183,0.952323914,1.0,0.2,0.0,0.0,2,5
128,0.1826,0.6415388226,5.0,0.12000000000000002,0.1,0.13999999999999999,4,1
129,0.0,0.2726294844,5.0,0.02,0.0,0.0,1,1
130,0.0785,0.243015044125,8.0,0.22500000000000003,0.0,0.0,1,1
132,0.0,0.041944757,1.0,0.0,0.0,0.0,1,1
137,0.10454545454545454,0.5074434651818182,11.0,0.14545454545454548,0.02727272727272727,0.03636363636363637,4,3
140,0.08600000000000001,0.671546585,13.0,0.16428571428571428,0.021428571428571432,0.014285714285714287,1,2
142,0.0,0.732228935,1.0,0.0,0.0,0.0,1,1
145,0.06866666666666667,0.08583625433333335,3.0,0.03333333333333333,0.0,0.0,2,2
146,0.06733333333333333,0.18748969858333334,12.0,0.05833333333333333,0.0,0.0,2,1
152,0.11769230769230768,0.5980717978461538,13.0,0.007692307692307693,0.0,0.0,1,2
159,0.12837500000000002,0.7459218482500001,8.0,0.2125,0.0,0.0,1,2
160,0.20833333333333334,0.9586424531666667,6.0,0.10000000000000002,0.03333333333333333,0.016666666666666666,2,3
162,0.07125000000000001,0.423606297,4.0,0.1,0.0,0.0,1,2
165,0.028,0.21894235024999997,4.0,0.05,0.0,0.05,2,5
166,0.21957142857142856,0.7513739827142859,14.0,0.14285714285714285,0.09999999999999999,0.028571428571428574,1,3
168,0.017142857142857144,0.39945492014285716,14.0,0.03571428571428571,0.0,0.0071428571428571435,1,5
181,0.0772,0.6252477354,5.0,0.12000000000000002,0.0,0.0,1,5
182,0.0,0.6381388905000001,2.0,0.05,0.0,0.0,1,1
187,0.06333333333333334,0.46473414416666664,6.0,0.11666666666666668,0.0,0.0,1,5
188,0.1328,0.49843429515000004,40.0,0.11500000000000002,0.05500000000000001,0.05250000000000001,1,5
189,0.32511764705882357,0.7685812950588237,17.0,0.058823529411764705,0.023529411764705882,0.0058823529411764705,9,5
190,0.0478125,0.356862421625,16.0,0.1,0.0,0.0125,7,5
198,0.0,0.3156701775,4.0,0.05,0.0,0.0,1,5
199,0.22160000000000002,0.9203670620000001,5.0,0.02,0.0,0.0,2,5
206,0.038,0.4799444897272727,11.0,0.09090909090909091,0.0,0.0,7,4
210,0.08512499999999999,0.431851439875,8.0,0.1375,0.0125,0.0,1,2
211,0.087,0.9050266745,2.0,0.05,0.0,0.0,2,2
